both,lidar,radar
7.17E-07,3.00E-05,0.000153134
3.12E-05,7.01E-06,5.12E-05
8.46E-05,0.00133726,0.000216847
0.00196243,0.000357784,0.0033002
4.87E-09,5.09E-05,0.000170803
6.04E-05,1.36E-05,9.57E-05
0.000526999,0.00134232,0.000465513
0.002263,0.000671686,0.00346241
8.48E-05,0.000695548,0.000136617
8.41E-05,2.23E-05,0.00015897
0.0014381,0.00682715,0.000489536
0.00277841,0.00102885,0.00423676
2.66E-05,0.000889109,0.000220733
0.000643164,4.06E-05,0.00133847
2.98E-05,0.00670353,0.000131969
0.0109216,0.00153528,0.0166774
1.92E-05,0.000519214,0.000227282
0.000110625,0.00011275,0.00178909
4.89E-05,0.00292801,0.000100083
0.00250994,1.08E-05,0.0180413
8.27E-06,0.00062368,0.000213111
8.49E-05,0.000107121,0.000955733
0.000252941,0.0029474,0.000229765
0.00216133,2.46E-05,0.00931326
4.70E-07,0.000168318,0.000225765
0.000201455,8.38E-06,0.00124102
0.000267631,0.000302157,0.00018069
0.00380996,0.00213764,0.0105868
5.37E-06,0.000184874,0.000214015
0.000490813,2.83E-05,0.00176108
0.00238206,0.000344121,0.00213784
0.00754668,0.00289708,0.0138648
0.000112615,4.87E-05,0.000275539
0.000156445,3.07E-06,0.00222556
0.00342485,0.0013036,0.00191556
0.00275585,0.00126682,0.0154207
3.96E-06,7.39E-05,1.90E-06
0.000247785,6.18E-08,0.00193765
8.82E-05,0.00113871,0.000398393
0.00348419,0.00191155,0.0119399
3.83E-06,7.62E-05,1.19E-07
0.000669466,0.000345962,0.00238596
0.000120129,0.000772285,0.000459327
0.00775476,0.00882289,0.0135191
1.02E-05,9.83E-05,1.17E-07
0.000846361,0.000535136,0.00200718
0.000411075,0.000644673,0.000242355
0.00914523,0.0102777,0.0111297
4.19E-05,0.000198282,1.55E-07
0.001074,0.000876706,0.00244959
0.000496264,0.000968636,0.00017594
0.0101332,0.0128096,0.0127529
7.65E-06,0.000235707,2.45E-06
0.000564533,0.00122129,0.000382394
0.000904566,0.000809957,0.00111972
0.00423532,0.0145581,0.00165268
1.99E-05,0.000313115,1.04E-05
0.000429582,0.000777353,0.000462036
0.000646928,0.000836789,0.00124263
0.00309168,0.00897551,0.00244033
6.14E-06,0.000353939,0.000260924
0.000482674,0.00104811,0.000404746
0.0012624,0.000679536,0.00161819
0.00372921,0.0105686,0.00274866
4.19E-07,0.000361248,0.000322234
0.000616126,0.00105893,0.00051325
0.000964287,0.000444926,0.00178204
0.00477002,0.0097192,0.00374986
3.28E-05,0.000389242,0.000607823
0.000441201,0.00138319,6.54E-05
0.00173186,0.000327324,0.00199863
0.00331845,0.0114187,0.00123211
0.00011103,4.50E-07,0.000706403
6.56E-05,0.000245299,9.92E-05
0.00222153,0.00161254,0.00220413
0.000520395,0.00205493,0.00196759
9.59E-05,7.29E-06,0.000679971
1.80E-05,0.000321855,1.58E-05
5.91E-05,0.00181674,3.24E-05
0.000493828,0.00297465,0.000687874
2.83E-05,1.99E-05,0.000680403
1.90E-06,0.000107256,5.67E-06
2.10E-06,0.000431993,7.70E-05
0.000383101,0.00134241,0.00127936
6.47E-06,1.10E-05,0.000509187
2.95E-07,0.000150996,4.76E-05
0.0010414,0.000567888,0.000898735
0.000768579,0.00212709,0.0014222
3.60E-06,8.15E-05,0.00043587
5.20E-05,0.000252387,2.21E-05
0.00108281,7.38E-05,0.000683461
0.00259264,0.00345206,0.00223243
4.91E-06,7.09E-05,0.000709672
0.000134922,0.000355518,4.55E-05
5.78E-07,0.000146845,2.31E-05
0.00399323,0.0046376,0.00508434
6.56E-05,0.000119495,0.00070986
0.000250899,0.000368275,0.000109184
0.000233447,0.00417737,7.30E-05
0.00578665,0.00480669,0.00649046
4.04E-05,0.000198376,0.000482022
0.000451505,0.00051333,0.000397949
2.08E-05,0.00460575,4.79E-07
0.00825129,0.0061886,0.00999802
1.72E-05,5.42E-05,0.00047654
0.000518715,0.000543879,0.000621464
1.41E-05,0.00201901,2.33E-05
0.00836579,0.00631217,0.0118881
5.20E-05,9.21E-05,0.000520414
0.000515615,0.000742882,0.000212944
0.00100398,0.00237829,0.000928105
0.00729394,0.00787903,0.00753129
6.66E-05,6.79E-05,0.000584268
0.00095432,0.0011761,0.000360638
0.0012442,0.00183678,0.00120034
0.0111012,0.011037,0.00922637
0.000130137,0.000107612,0.000670815
0.00135487,0.00155195,0.000892545
0.00302693,0.00221845,0.00294174
0.0131922,0.0130338,0.012863
4.06E-05,1.05E-05,0.000807928
0.000804679,0.000885602,0.00125626
0.0018602,9.11E-05,0.00342934
0.00718376,0.00695173,0.014997
0.000135788,6.92E-06,0.000985276
0.000725965,0.00114576,0.000374458
0.00473445,0.000210805,0.0056581
0.00584695,0.00860154,0.0083692
6.58E-05,9.56E-05,0.0012193
0.000377315,0.000581327,0.00057367
0.00346798,2.00E-06,0.00635868
0.0029516,0.00416328,0.0101556
2.37E-07,9.28E-05,0.000242774
0.000272718,0.000747178,1.96E-07
4.05E-05,1.64E-05,0.000149831
0.00286969,0.00548687,0.00441863
1.17E-05,6.44E-06,0.00026135
0.000197079,0.000387339,9.70E-06
0.000243461,0.00164652,0.000316093
0.00244886,0.00288726,0.0057743
8.00E-06,2.17E-05,0.000181026
0.000256291,0.000502671,3.55E-05
0.00018404,0.00212091,0.000246859
0.0033876,0.00401258,0.00704106
1.18E-05,6.15E-05,0.000202968
